"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2023","0.2665","0.2666","0.2667","0.2665","","-0.07%"
"05/25/2023","0.2667","0.2666","0.2667","0.2665","","0.00%"
"05/24/2023","0.2666","0.2667","0.2667","0.2666","","0.00%"
"05/23/2023","0.2667","0.2667","0.2667","0.2666","","0.00%"
"05/22/2023","0.2667","0.2667","0.2668","0.2666","","0.04%"
"05/19/2023","0.2666","0.2667","0.2668","0.2665","","-0.04%"
"05/18/2023","0.2667","0.2667","0.2668","0.2665","","0.08%"
"05/17/2023","0.2664","0.2667","0.2668","0.2665","","-0.08%"
"05/16/2023","0.2667","0.2667","0.2668","0.2666","","0.00%"
"05/15/2023","0.2667","0.2666","0.2667","0.2665","","0.00%"
"05/12/2023","0.2666","0.2667","0.2667","0.2665","","0.00%"
"05/11/2023","0.2666","0.2667","0.2667","0.2666","","0.00%"
"05/10/2023","0.2666","0.2667","0.2667","0.2666","","0.00%"
"05/09/2023","0.2666","0.2666","0.2667","0.2666","","0.00%"
"05/08/2023","0.2666","0.2667","0.2667","0.2666","","0.07%"
"05/05/2023","0.2664","0.2666","0.2667","0.2665","","-0.07%"
"05/04/2023","0.2666","0.2666","0.2667","0.2665","","0.07%"
"05/03/2023","0.2664","0.2666","0.2667","0.2665","","-0.08%"
"05/02/2023","0.2667","0.2666","0.2667","0.2666","","0.00%"
"05/01/2023","0.2666","0.2666","0.2667","0.2666","","0.00%"
"04/28/2023","0.2666","0.2666","0.2667","0.2665","","0.00%"
"04/27/2023","0.2666","0.2666","0.2667","0.2665","","0.00%"
"04/26/2023","0.2666","0.2666","0.2667","0.2666","","0.00%"
"04/25/2023","0.2666","0.2666","0.2666","0.2666","","0.00%"
"04/24/2023","0.2666","0.2666","0.2667","0.2665","","0.00%"
"04/21/2023","0.2666","0.2666","0.2667","0.2666","","0.00%"
"04/20/2023","0.2666","0.2666","0.2667","0.2665","","0.00%"
"04/19/2023","0.2666","0.2666","0.2667","0.2665","","0.08%"
"04/18/2023","0.2664","0.2666","0.2667","0.2665","","-0.05%"
"04/17/2023","0.2665","0.2666","0.2667","0.2665","","0.00%"
"04/14/2023","0.2666","0.2666","0.2666","0.2666","","0.00%"
"04/13/2023","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/12/2023","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/11/2023","0.2665","0.2666","0.2666","0.2665","","0.00%"
"04/10/2023","0.2665","0.2665","0.2666","0.2665","","0.00%"
"04/07/2023","0.2665","0.2666","0.2666","0.2665","","0.00%"
"04/06/2023","0.2666","0.2666","0.2667","0.2664","","0.00%"
"04/05/2023","0.2665","0.2666","0.2666","0.2665","","-0.02%"
"04/04/2023","0.2666","0.2666","0.2667","0.2664","","0.00%"
"04/03/2023","0.2666","0.2663","0.2667","0.2663","","0.08%"
"03/31/2023","0.2664","0.2664","0.2665","0.2663","","0.00%"
"03/30/2023","0.2664","0.2663","0.2664","0.2663","","0.03%"
"03/29/2023","0.2663","0.2663","0.2664","0.2661","","0.00%"
"03/28/2023","0.2663","0.2662","0.2664","0.2662","","0.02%"
"03/27/2023","0.2662","0.2662","0.2663","0.2661","","0.00%"
"03/24/2023","0.2662","0.2662","0.2662","0.2660","","0.00%"
"03/23/2023","0.2662","0.2662","0.2663","0.2660","","0.00%"
"03/22/2023","0.2662","0.2662","0.2663","0.2661","","0.03%"
"03/21/2023","0.2661","0.2662","0.2663","0.2660","","-0.03%"
"03/20/2023","0.2662","0.2662","0.2663","0.2661","","0.00%"
"03/17/2023","0.2662","0.2662","0.2663","0.2660","","0.00%"
"03/16/2023","0.2662","0.2663","0.2664","0.2660","","0.00%"
"03/15/2023","0.2662","0.2663","0.2664","0.2662","","-0.02%"
"03/14/2023","0.2663","0.2664","0.2664","0.2662","","0.00%"
"03/13/2023","0.2663","0.2664","0.2664","0.2663","","0.00%"
"03/10/2023","0.2664","0.2664","0.2664","0.2663","","0.00%"
"03/09/2023","0.2664","0.2664","0.2665","0.2663","","0.00%"
"03/08/2023","0.2663","0.2664","0.2665","0.2663","","-0.02%"
"03/07/2023","0.2664","0.2664","0.2665","0.2664","","0.00%"
"03/06/2023","0.2664","0.2664","0.2665","0.2664","","0.00%"
"03/03/2023","0.2664","0.2664","0.2665","0.2663","","0.00%"
"03/02/2023","0.2664","0.2665","0.2665","0.2664","","-0.02%"
"03/01/2023","0.2665","0.2665","0.2665","0.2664","","0.00%"
"02/28/2023","0.2665","0.2665","0.2665","0.2664","","0.00%"
"02/27/2023","0.2664","0.2665","0.2667","0.2664","","-0.03%"
"02/24/2023","0.2665","0.2665","0.2668","0.2665","","0.00%"
"02/23/2023","0.2665","0.2666","0.2666","0.2665","","0.00%"
"02/22/2023","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/21/2023","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/20/2023","0.2666","0.2666","0.2668","0.2666","","0.00%"
"02/17/2023","0.2666","0.2666","0.2669","0.2665","","0.00%"
"02/16/2023","0.2666","0.2666","0.2667","0.2665","","0.00%"
"02/15/2023","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/14/2023","0.2665","0.2665","0.2666","0.2664","","0.08%"
"02/13/2023","0.2663","0.2665","0.2666","0.2664","","-0.07%"
"02/10/2023","0.2665","0.2665","0.2665","0.2664","","0.00%"
"02/09/2023","0.2665","0.2665","0.2666","0.2664","","0.00%"
"02/08/2023","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/07/2023","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/06/2023","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/03/2023","0.2665","0.2665","0.2665","0.2664","","0.00%"
"02/02/2023","0.2665","0.2665","0.2666","0.2664","","0.00%"
"02/01/2023","0.2665","0.2665","0.2665","0.2664","","0.00%"
"01/31/2023","0.2664","0.2664","0.2665","0.2663","","0.03%"
"01/30/2023","0.2664","0.2664","0.2665","0.2663","","0.00%"
"01/27/2023","0.2664","0.2664","0.2665","0.2663","","0.00%"
"01/26/2023","0.2664","0.2664","0.2665","0.2663","","0.00%"
"01/25/2023","0.2663","0.2663","0.2665","0.2662","","0.00%"
"01/24/2023","0.2663","0.2663","0.2664","0.2662","","0.00%"
"01/23/2023","0.2663","0.2662","0.2664","0.2661","","0.10%"
"01/20/2023","0.2661","0.2662","0.2665","0.2660","","-0.05%"
"01/19/2023","0.2662","0.2663","0.2664","0.2661","","0.05%"
"01/18/2023","0.2661","0.2662","0.2664","0.2660","","-0.06%"
"01/17/2023","0.2662","0.2662","0.2663","0.2660","","0.00%"
"01/16/2023","0.2662","0.2661","0.2663","0.2661","","0.00%"
"01/13/2023","0.2662","0.2662","0.2663","0.2661","","0.00%"
"01/12/2023","0.2662","0.2662","0.2663","0.2661","","0.00%"
"01/11/2023","0.2662","0.2663","0.2664","0.2662","","0.02%"
"01/10/2023","0.2661","0.2662","0.2664","0.2660","","0.00%"
"01/09/2023","0.2662","0.2661","0.2663","0.2659","","0.06%"
"01/06/2023","0.2660","0.2660","0.2661","0.2660","","0.00%"
"01/05/2023","0.2660","0.2660","0.2661","0.2659","","0.00%"
"01/04/2023","0.2660","0.2660","0.2661","0.2659","","0.00%"
"01/03/2023","0.2659","0.2660","0.2661","0.2659","","-0.02%"
"01/02/2023","0.2660","0.2660","0.2661","0.2659","","0.00%"
"12/30/2022","0.2660","0.2660","0.2661","0.2658","","0.05%"
"12/29/2022","0.2659","0.2660","0.2661","0.2658","","0.00%"
"12/28/2022","0.2659","0.2660","0.2662","0.2659","","-0.03%"
"12/27/2022","0.2660","0.2659","0.2662","0.2657","","0.05%"
"12/26/2022","0.2658","0.2659","0.2661","0.2657","","0.00%"
"12/23/2022","0.2658","0.2659","0.2661","0.2658","","0.00%"
"12/22/2022","0.2658","0.2659","0.2661","0.2657","","0.00%"
"12/21/2022","0.2658","0.2659","0.2661","0.2657","","0.00%"
"12/20/2022","0.2658","0.2659","0.2661","0.2657","","0.03%"
"12/19/2022","0.2657","0.2659","0.2661","0.2656","","-0.04%"
"12/16/2022","0.2659","0.2659","0.2661","0.2658","","0.00%"
"12/15/2022","0.2659","0.2660","0.2661","0.2658","","0.00%"
"12/14/2022","0.2659","0.2660","0.2661","0.2659","","0.00%"
"12/13/2022","0.2660","0.2659","0.2661","0.2658","","0.04%"
"12/12/2022","0.2659","0.2659","0.2661","0.2657","","0.00%"
"12/09/2022","0.2659","0.2661","0.2661","0.2658","","0.00%"
"12/08/2022","0.2658","0.2659","0.2661","0.2657","","-0.03%"
"12/07/2022","0.2659","0.2660","0.2661","0.2659","","0.00%"
"12/06/2022","0.2660","0.2660","0.2661","0.2659","","0.00%"
"12/05/2022","0.2660","0.2660","0.2661","0.2660","","0.00%"
"12/02/2022","0.2660","0.2660","0.2661","0.2659","","0.00%"
"12/01/2022","0.2660","0.2660","0.2661","0.2659","","0.00%"
"11/30/2022","0.2660","0.2661","0.2661","0.2659","","-0.03%"
"11/29/2022","0.2661","0.2661","0.2661","0.2660","","0.00%"
"11/28/2022","0.2661","0.2661","0.2662","0.2661","","0.00%"
"11/25/2022","0.2661","0.2661","0.2662","0.2660","","0.00%"
"11/24/2022","0.2661","0.2661","0.2662","0.2660","","0.00%"
"11/23/2022","0.2660","0.2661","0.2661","0.2660","","0.00%"
"11/22/2022","0.2660","0.2661","0.2662","0.2660","","0.00%"
"11/21/2022","0.2661","0.2661","0.2661","0.2659","","0.00%"
"11/18/2022","0.2660","0.2661","0.2661","0.2660","","0.00%"
"11/17/2022","0.2660","0.2660","0.2661","0.2660","","0.00%"
"11/16/2022","0.2660","0.2661","0.2661","0.2660","","0.00%"
"11/15/2022","0.2661","0.2661","0.2661","0.2659","","0.00%"
"11/14/2022","0.2660","0.2660","0.2661","0.2658","","0.11%"
"11/11/2022","0.2657","0.2660","0.2661","0.2659","","-0.08%"
"11/10/2022","0.2660","0.2659","0.2661","0.2657","","0.03%"
"11/09/2022","0.2659","0.2660","0.2661","0.2657","","-0.04%"
"11/08/2022","0.2660","0.2661","0.2661","0.2659","","-0.04%"
"11/07/2022","0.2661","0.2661","0.2661","0.2660","","0.00%"
"11/04/2022","0.2661","0.2660","0.2661","0.2660","","0.00%"
"11/03/2022","0.2660","0.2661","0.2662","0.2660","","0.00%"
"11/02/2022","0.2661","0.2661","0.2662","0.2660","","0.00%"
"11/01/2022","0.2661","0.2662","0.2662","0.2660","","0.00%"
"10/31/2022","0.2661","0.2661","0.2662","0.2660","","0.02%"
"10/28/2022","0.2660","0.2662","0.2663","0.2660","","-0.03%"
"10/27/2022","0.2661","0.2661","0.2662","0.2660","","0.03%"
"10/26/2022","0.2660","0.2660","0.2661","0.2659","","0.03%"
"10/25/2022","0.2660","0.2661","0.2661","0.2659","","-0.05%"
"10/24/2022","0.2661","0.2661","0.2662","0.2660","","0.03%"
"10/21/2022","0.2660","0.2661","0.2661","0.2660","","0.00%"
"10/20/2022","0.2660","0.2661","0.2662","0.2660","","0.00%"
"10/19/2022","0.2660","0.2662","0.2663","0.2660","","-0.07%"
"10/18/2022","0.2662","0.2660","0.2663","0.2660","","0.07%"
"10/17/2022","0.2660","0.2661","0.2662","0.2660","","-0.02%"
"10/14/2022","0.2660","0.2662","0.2662","0.2660","","-0.03%"
"10/13/2022","0.2661","0.2661","0.2662","0.2660","","0.03%"
"10/12/2022","0.2660","0.2660","0.2661","0.2660","","0.03%"
"10/11/2022","0.2660","0.2660","0.2661","0.2659","","0.00%"
"10/10/2022","0.2660","0.2661","0.2661","0.2659","","0.00%"
"10/07/2022","0.2660","0.2661","0.2662","0.2659","","-0.03%"
"10/06/2022","0.2660","0.2659","0.2662","0.2659","","0.05%"
"10/05/2022","0.2659","0.2660","0.2661","0.2659","","-0.03%"
"10/04/2022","0.2660","0.2660","0.2661","0.2659","","0.00%"
"10/03/2022","0.2660","0.2661","0.2662","0.2659","","-0.05%"
"09/30/2022","0.2661","0.2661","0.2662","0.2660","","0.00%"
"09/29/2022","0.2661","0.2655","0.2662","0.2655","","0.25%"
"09/28/2022","0.2654","0.2659","0.2659","0.2655","","-0.16%"
"09/27/2022","0.2658","0.2659","0.2660","0.2657","","-0.03%"
"09/26/2022","0.2659","0.2658","0.2661","0.2657","","0.05%"
"09/23/2022","0.2657","0.2658","0.2660","0.2658","","0.00%"
"09/22/2022","0.2657","0.2658","0.2659","0.2657","","0.00%"
"09/21/2022","0.2657","0.2658","0.2660","0.2657","","-0.04%"
"09/20/2022","0.2658","0.2660","0.2660","0.2658","","-0.03%"
"09/19/2022","0.2659","0.2661","0.2662","0.2659","","-0.03%"
"09/16/2022","0.2660","0.2662","0.2662","0.2660","","-0.07%"
"09/15/2022","0.2661","0.2660","0.2662","0.2659","","0.09%"
"09/14/2022","0.2659","0.2661","0.2661","0.2659","","-0.04%"
"09/13/2022","0.2660","0.2661","0.2661","0.2660","","0.00%"
"09/12/2022","0.2660","0.2661","0.2662","0.2661","","-0.02%"
"09/09/2022","0.2661","0.2661","0.2662","0.2661","","0.02%"
"09/08/2022","0.2660","0.2661","0.2662","0.2660","","0.00%"
"09/07/2022","0.2661","0.2661","0.2662","0.2660","","0.00%"
"09/06/2022","0.2661","0.2660","0.2662","0.2659","","0.03%"
"09/05/2022","0.2660","0.2660","0.2661","0.2659","","0.00%"
"09/02/2022","0.2660","0.2660","0.2662","0.2659","","-0.04%"
"09/01/2022","0.2661","0.2660","0.2662","0.2659","","0.04%"
"08/31/2022","0.2660","0.2663","0.2663","0.2659","","-0.07%"
"08/30/2022","0.2661","0.2663","0.2663","0.2662","","-0.04%"
"08/29/2022","0.2662","0.2662","0.2663","0.2662","","0.04%"
"08/26/2022","0.2661","0.2662","0.2663","0.2662","","0.00%"
"08/25/2022","0.2661","0.2660","0.2663","0.2659","","0.05%"
"08/24/2022","0.2660","0.2663","0.2663","0.2660","","-0.10%"
"08/23/2022","0.2662","0.2663","0.2663","0.2662","","0.00%"
"08/22/2022","0.2662","0.2663","0.2664","0.2662","","0.00%"
"08/19/2022","0.2662","0.2663","0.2663","0.2662","","0.00%"
"08/18/2022","0.2662","0.2664","0.2664","0.2662","","-0.03%"
"08/17/2022","0.2663","0.2664","0.2664","0.2662","","0.00%"
"08/16/2022","0.2663","0.2663","0.2664","0.2662","","0.02%"
"08/15/2022","0.2663","0.2663","0.2664","0.2662","","0.00%"
"08/12/2022","0.2662","0.2662","0.2664","0.2662","","0.00%"
"08/11/2022","0.2662","0.2659","0.2663","0.2659","","0.09%"
"08/10/2022","0.2660","0.2660","0.2661","0.2659","","0.00%"
"08/09/2022","0.2660","0.2661","0.2661","0.2659","","-0.03%"
"08/08/2022","0.2660","0.2661","0.2662","0.2659","","-0.03%"
"08/05/2022","0.2661","0.2661","0.2662","0.2661","","0.03%"
"08/04/2022","0.2660","0.2660","0.2662","0.2659","","0.03%"
"08/03/2022","0.2659","0.2662","0.2662","0.2659","","-0.08%"
"08/02/2022","0.2662","0.2663","0.2663","0.2661","","-0.03%"
"08/01/2022","0.2662","0.2662","0.2663","0.2662","","0.00%"
"07/29/2022","0.2662","0.2662","0.2663","0.2662","","0.00%"
"07/28/2022","0.2662","0.2662","0.2663","0.2662","","0.00%"
"07/27/2022","0.2662","0.2662","0.2663","0.2661","","0.04%"
"07/26/2022","0.2661","0.2662","0.2662","0.2661","","0.00%"
"07/25/2022","0.2661","0.2661","0.2662","0.2661","","0.00%"
"07/22/2022","0.2661","0.2661","0.2662","0.2661","","0.00%"
"07/21/2022","0.2661","0.2661","0.2662","0.2660","","0.00%"
"07/20/2022","0.2661","0.2662","0.2663","0.2661","","-0.08%"
"07/19/2022","0.2663","0.2663","0.2663","0.2662","","0.00%"
"07/18/2022","0.2663","0.2663","0.2663","0.2661","","0.00%"
"07/15/2022","0.2663","0.2664","0.2664","0.2663","","-0.03%"
"07/14/2022","0.2664","0.2663","0.2664","0.2663","","-0.02%"
"07/13/2022","0.2664","0.2664","0.2665","0.2663","","0.00%"
"07/12/2022","0.2664","0.2664","0.2664","0.2664","","0.00%"
"07/11/2022","0.2664","0.2664","0.2664","0.2663","","0.00%"
"07/08/2022","0.2664","0.2664","0.2664","0.2663","","0.00%"
"07/07/2022","0.2664","0.2664","0.2664","0.2663","","0.00%"
"07/06/2022","0.2664","0.2663","0.2664","0.2663","","0.00%"
"07/05/2022","0.2664","0.2664","0.2665","0.2663","","-0.03%"
"07/04/2022","0.2665","0.2665","0.2665","0.2664","","0.00%"
"07/01/2022","0.2665","0.2665","0.2666","0.2664","","0.00%"
"06/30/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"06/29/2022","0.2665","0.2664","0.2666","0.2664","","0.02%"
"06/28/2022","0.2664","0.2664","0.2665","0.2664","","0.00%"
"06/27/2022","0.2664","0.2664","0.2665","0.2664","","-0.03%"
"06/24/2022","0.2665","0.2665","0.2665","0.2664","","0.00%"
"06/23/2022","0.2665","0.2665","0.2666","0.2664","","0.00%"
"06/22/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"06/21/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"06/20/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"06/17/2022","0.2665","0.2665","0.2666","0.2664","","0.00%"
"06/16/2022","0.2665","0.2665","0.2666","0.2664","","0.00%"
"06/15/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"06/14/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"06/13/2022","0.2665","0.2666","0.2666","0.2665","","0.00%"
"06/10/2022","0.2666","0.2665","0.2666","0.2665","","0.00%"
"06/09/2022","0.2665","0.2666","0.2666","0.2665","","0.00%"
"06/08/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"06/07/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"06/06/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"06/03/2022","0.2666","0.2666","0.2666","0.2666","","0.00%"
"06/02/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"06/01/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/31/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/30/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/27/2022","0.2666","0.2666","0.2666","0.2666","","0.00%"
"05/26/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/25/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/24/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/23/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/20/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/19/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/18/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/17/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/16/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/13/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/12/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/11/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/10/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/09/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/06/2022","0.2666","0.2666","0.2666","0.2666","","0.00%"
"05/05/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"05/04/2022","0.2666","0.2666","0.2666","0.2666","","0.00%"
"05/03/2022","0.2666","0.2666","0.2666","0.2666","","0.00%"
"05/02/2022","0.2666","0.2666","0.2666","0.2666","","0.00%"
"04/29/2022","0.2666","0.2666","0.2666","0.2666","","0.00%"
"04/28/2022","0.2666","0.2666","0.2667","0.2665","","0.00%"
"04/27/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/26/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/25/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/22/2022","0.2666","0.2666","0.2667","0.2666","","0.00%"
"04/21/2022","0.2666","0.2666","0.2667","0.2665","","0.00%"
"04/20/2022","0.2666","0.2667","0.2667","0.2666","","0.00%"
"04/19/2022","0.2667","0.2667","0.2667","0.2666","","0.00%"
"04/18/2022","0.2667","0.2667","0.2667","0.2666","","0.00%"
"04/15/2022","0.2667","0.2667","0.2667","0.2666","","0.00%"
"04/14/2022","0.2667","0.2667","0.2667","0.2665","","0.00%"
"04/13/2022","0.2667","0.2667","0.2667","0.2665","","0.00%"
"04/12/2022","0.2667","0.2667","0.2667","0.2666","","0.00%"
"04/11/2022","0.2667","0.2666","0.2667","0.2665","","0.00%"
"04/08/2022","0.2666","0.2666","0.2667","0.2666","","0.00%"
"04/07/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/06/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/05/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/04/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"04/01/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/31/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/30/2022","0.2665","0.2665","0.2666","0.2665","","0.02%"
"03/29/2022","0.2665","0.2666","0.2666","0.2665","","-0.03%"
"03/28/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/25/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/24/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/23/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/22/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/21/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/18/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/17/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/16/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/15/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/14/2022","0.2665","0.2666","0.2666","0.2665","","0.00%"
"03/11/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/10/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"03/09/2022","0.2665","0.2666","0.2666","0.2665","","0.00%"
"03/08/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/07/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/04/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/03/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/02/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"03/01/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/28/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/25/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/24/2022","0.2665","0.2665","0.2666","0.2664","","0.00%"
"02/23/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/22/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/21/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/18/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/17/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/16/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/15/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/14/2022","0.2665","0.2665","0.2666","0.2665","","-0.02%"
"02/11/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/10/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/09/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/08/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/07/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/04/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/03/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"02/02/2022","0.2665","0.2666","0.2666","0.2665","","0.00%"
"02/01/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"01/31/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"01/28/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"01/27/2022","0.2665","0.2666","0.2666","0.2665","","0.00%"
"01/26/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/25/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/24/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/21/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/20/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/19/2022","0.2666","0.2666","0.2666","0.2665","","0.00%"
"01/18/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"01/17/2022","0.2665","0.2665","0.2666","0.2665","","0.00%"
"01/14/2022","0.2665","0.2665","0.2666","0.2664","","0.00%"
"01/13/2022","0.2664","0.2664","0.2666","0.2663","","0.00%"
"01/12/2022","0.2664","0.2664","0.2666","0.2663","","0.00%"
"01/11/2022","0.2664","0.2664","0.2666","0.2663","","0.00%"
"01/10/2022","0.2664","0.2664","0.2666","0.2664","","0.00%"
"01/07/2022","0.2664","0.2663","0.2665","0.2663","","0.00%"
"01/06/2022","0.2663","0.2662","0.2665","0.2662","","0.04%"
"01/05/2022","0.2662","0.2662","0.2663","0.2661","","0.00%"
"01/04/2022","0.2662","0.2663","0.2664","0.2661","","-0.04%"
"01/03/2022","0.2663","0.2663","0.2664","0.2663","","0.00%"
"12/31/2021","0.2663","0.2664","0.2664","0.2663","","0.00%"
"12/30/2021","0.2663","0.2664","0.2664","0.2663","","0.00%"
"12/29/2021","0.2663","0.2662","0.2664","0.2662","","0.02%"
"12/28/2021","0.2662","0.2662","0.2663","0.2662","","0.00%"
"12/27/2021","0.2662","0.2663","0.2663","0.2662","","0.00%"
"12/24/2021","0.2663","0.2663","0.2663","0.2662","","0.00%"
"12/23/2021","0.2663","0.2664","0.2664","0.2662","","0.00%"
"12/22/2021","0.2663","0.2664","0.2664","0.2663","","0.00%"
"12/21/2021","0.2663","0.2664","0.2664","0.2663","","0.00%"
"12/20/2021","0.2664","0.2664","0.2666","0.2663","","-0.03%"
"12/17/2021","0.2665","0.2665","0.2666","0.2664","","0.00%"
"12/16/2021","0.2665","0.2666","0.2666","0.2664","","-0.03%"
"12/15/2021","0.2665","0.2665","0.2666","0.2665","","0.00%"
"12/14/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"12/13/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"12/10/2021","0.2665","0.2666","0.2666","0.2665","","0.00%"
"12/09/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"12/08/2021","0.2665","0.2666","0.2666","0.2665","","0.00%"
"12/07/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"12/06/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"12/03/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"12/02/2021","0.2666","0.2665","0.2666","0.2665","","0.00%"
"12/01/2021","0.2665","0.2665","0.2666","0.2665","","0.00%"
"11/30/2021","0.2665","0.2665","0.2666","0.2665","","0.00%"
"11/29/2021","0.2666","0.2665","0.2666","0.2665","","0.00%"
"11/26/2021","0.2665","0.2666","0.2666","0.2665","","0.00%"
"11/25/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"11/24/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"11/23/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"11/22/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
"11/19/2021","0.2666","0.2666","0.2666","0.2666","","0.00%"
"11/18/2021","0.2666","0.2666","0.2666","0.2665","","0.00%"
